,Descriptions
0,"Uses The Veins on odd turns, and Ice Bomb on even turns. If this boss loses 50% of its HP or more in one turn it will use Vengeful Void"
1,Some Ability idk
2," Zero twos revenge starts at half health loses 2 HP per turn, and if its health reaches full it is destroyed. All Damage dealt to Zero Twos Revenge deals 1.5 times that amount as piercing counter damage to all enemy creatures on the field. This ability cannot be negated. "
3,"Magolor soul immediately gains the abilities of all opponent LV 5 or below creatures that have killed one of your creatures. Magolor is immune to Condemned, and all insta-kill effects. This ability cannot be negated."
4,"Every Time an ability is used (not counting this one), Marx Wrath gains 2 ATK DEF and SPD until the end of the turn. This ability cannot be negated"
5,"(OPGT) (Activates before items can hit this creature) either pay 1 point to summon Bugzzy, 2 points to summon Ice dragon, or (OPG) 3 points to summon Masher. At least 3 lanes turns must end before another minion can be summoned. If this creature is at full health and were to die from an attack, it will survive with 0.5 HP instead.This ability cannot be negated or copied. "
6,When this creature attacks you can choose one de-buff to inflict with that attack: Frozen 1 turn Blazing 2 turns Paralyzed 2 turns Corruption 3 turns Can only use each de-buff (OPG).
7,(EOT) Gain ATK equal to 20% of the DMG your team took the previous global turn until the end of its turn. You can make a non-piercing attack against this creature piercing to deal 4 piercing damage to anything on the field.
8,(EOT) One of this creatures attacks inflicts 1 turn of Imprisoned. 
9,First turn and (EOT) One attack inflicts Frozen. (EOT) May place a Flame Bomb on itself.
10,1st turn and (EOT) summon a Matterling at (ENDT) (OPG)(OD) Revive with stats 3/2/5/7 and with the new ability: Attacks inflict 6 stacks of Hemorrhaging for 3 turns.
11,(ENDT) This creature gains +1 ATK and +1 SPD. After the end of this creature's 3rd turn on the field it is destroyed and deals 5 piercing damage to all opponent creatures on primary field.
12,"(EOT) This creatures first attack inflicts imprisoned for 1 turn. While this creature is imprisoning a creature, your teammates gain DEF equal to half of the imprisoned creatures DEF. (OD) This creature is revived with the stats 1/9/7/6. "
13,This creatures attacks deal life steal damage. While on the field the enemy team has 2 less max stars of item usage 
14,"(OPT) Pay 4 points to double This creatures ATK for its next attack. (OPT) You can pay 1 point to summon a Warrior Dee, this ability costs 1 extra point for each Warrior Dee on the field. "
15,"(OPGT) This card may intercept an attack or infliction, reducing the number of actions the intercepted creature has by 1 on their next turn, and you gain 2 points. (OPT) Pay 2 points to gain an action."
16,"This creature takes 3 counter damage each time it attacks. When this creature has 50% or less HP, attacking will attack each enemy creature."
17,"(OPGT) Until (ENDGT) you can: Pay 2 points to increase ATK straight to 10, Pay 1 point to increase SPD straight to 10, Pay 3 points to summon one Sword Knight (max 1 on field)."
18,"This creature takes piercing counter damage equal to the ATK -4.5 of any creature it attacks. While this creature is on the field, all friendly creatures except this one gain 2 DEF"
19,(OPT) You can spend up to 2 points to heal a friendly creature by 2.5 HP per point.
20,"When this creature attacks the other team, they lose 2 stars of item usage."
21,"If this creature is not attacked by the end of a global turn while on the field, it has +3 ATK next global turn. If this creature is attacked by a non-piercing attack, you can make that attack piercing and deal 5 piercing damage to any creature on the PF."
22,"This creature can consume an action make it's next attack deal 10 extra damage and 6 shockwave damage. While charging this attack, until the attack has finished, it cannot be targeted by enemy items.During this attack, abilities may not target this creature. For every 5 HP below max health, this creature loses 1 DEF and gains 0.5 SPD."
23,(EOGT) This card may reduce the damage of one attack to 0. While this card is on the field all point based abilities and actions cost 2 more points for the enemy team.
24,"Attacks give 2 turns of Smouldering. (OPGT) Landia can decrease attack by 4 to attack 3 times per action (these do not give Smouldering). When Landia dies, equip Dragon Mounts to your teams creatures that are currently on the field. "
25,"(BOGT) and on summon, must choose a form: Mecha Form: (7/4/9/5) with 25% damage reduction Master form: (OPT) pay points equal to the level +1 of one of your dead creatures to summon a protective minion with that creatures ability and stat reductions of -4 HP, -2 DEF, and -1 ATK/SPD to it and its minions. This minion cannot be placed behind Yin Yarn on the field. "
26,Counter damage dealt to this card is increased by 1.5. (TPT) do one: -Pay 1 point to inflict 2.5 piercing damage to any creature on the field -Inflict Blindness for 2 turns to a creature -Pay points equal to the level of an opponent item -1 to negate it for 1 global turn.
27,"(OPT) You can pay 2 points to increase this creatures attack by 4 until the end of their turn. (OPG) When this creatures HP is reduced to 4 or lower, it immediately summons two Galacta Warriors. "
28,"(OYT) May spend SP to gain +2 ATK per SP, up to +11 ATK for its next attack. (OPT) May pay SP equal to the star level of a field item +1 to either purchase it from the shop, or invert the stat gains of an opponents field item, negating effects that cant be inverted. "
29,"(OPG)(OYT) Pay 5 points to gain +1 ATK DEF SPD. Turn 1 may decrease ATK by 2 to make attacks hit entire (PF). Turn 2 (BOT) may summon a Mini Doomer. Turn 3 may decrease DEF by 2 to gain +5 ATK until (ENDT). After turn 3, reset to turn 1."
30,(OPT) This creature can reduce one max stat bar of one creature by two and regain 2 HP. (OYT) You can pay 3 points to reduce all of one creatures stats bars by one. This ability costs 2 more points each time you use it during one turn. 
31,"This creature may consume food. (OPGT) This may assume 1 of 3 forms until the end of the global turn; Spinning Doom: -2 ATK, can attack 2 seperate creatures, and deals 6 counter damage to attackers. Missile Barrage: -5 ATK, can attack 4 times. Flamethrower: Attacks inflict Blazing for 2 turns."
32,"Whenever this creature attacks, it negates all enemy creatures (even those in the hand) until the end of the global turn, or until Marx dies."
33,(OYT) May use an action to force another creature to perform an attack on a creature of your choice. This applies any non Multi-Turn passive on-hit effects.
34,(EOT)(OPT) You can pay 3 points to have this creature's next attack target all enemies on the (PF). (OPGT) This creature can intercept an attack or infliction.
35,"On this creatures first turn and (EOT) after that, it's attacks inflict Paralyzed for 2 turns. Any creature that attacks this creature takes 3 piercing counter damage. "
36,(EOT) One of this creatures attacks inflicts Confusion for 2 turns. This creature may consume food. 
37,"(OPGT) When an attack or infliction is declared towards your team, you may pay 2.5 points to redirect the attack to a different target on your team. (EOT) This creatures attacks are piercing and immune to counter damage. "
38,"Slime can attack twice per action, and attacks inflict Poison for 5 turns and deal 2 piercing (CD) to itself."
39,Puppet can consume an action to pay 3 points to deal 7 piercing damage to itself and another creature on the (PF)
40,"Magician attacks inflict either Frostbite for 2 turns, Burning for 2 turns, or heal any creature by +4 HP."
41,"(EOT) , or on turns this creature took damage it can either summon an electro probe, or gain 2 ATK, and all attacks from this creature inflict Blazing, and 4 piercing counter damage to itself this turn."
42,Attacks from green cannot be negated or intecepted.
43,(OPGT) You can convert one instance of piercing damage to non-piecing damage.
44,Immune to counter damage.
45,(EOT) This creature can either increase ATK by 2 for this turn or decrease ATK by 1 and make its attacks piercing this turn.
46,This creature gains the type of whatever form it is in until the end of the turn.
47,This creature gains the type of whatever form it is in until the end of the turn.
48,This creature gains the type of whatever form it is in until the end of the turn.
49,This creature gains the type of whatever form it is in until the end of the turn.
50,"(OPT) Can target a creature and place a scan counter on it. (OYT) If that creature has scan counters equal to half its star level rounded up, this creature may destroy those counters to create a copy of that creature as a protective minion (must stay in primary field) with -1 bar to all base stats (reductions apply to summoned minions). Cannot summon minions two turns in a row. This card may only have one minion at a time with this ability. (OYT) May destroy the current minion to summon another one."
51,"When this creature is at or below 50% HP it gains 1 SPD loses 1 ATK, can attack twice per action, and is immune to counter damage."
52,(EOT) May use an action to immediately take and control the turn of a 3 star or lower creature (or any leveled minion). The controlled creature's next turn is skipped.
53,Electric types deal piercing damage to this creature. Every time that this creature ends its turn it gains +2 ATK.
54,"(OPT) If the global turn is an odd number this creature may decrease its HP by up to 5 to increase its ATK by that amount for 1 turn. If the global turn is an even number, it may decrease its ATK by up to 5 for 1 turn to heal any creature on the field by that amount."
55,"When this creature dies, all enemy creatures on the primary field take 5 piercing damage"
56,"(OPGT) Can change its SPD to any value between 3 and 7, this effect ends when its turn begins.When attacking, this creatures ATK becomes equal to 33% of the combined ATK of every attack that has occurred so far this global turn."
57,This creature can attack twice per action.
58,"On this creatures first turn, and (EOT) after that its first attack inflicts Frozen for 1 turn. (EOT) Attacks steal 2 points from the enemy team."
59,This Creature's attacks inflict Burning for 2 turns. This creature is immune to Confusion and Blindness.
60,This creatures attacks inflict Corruption for 2 turns. 
61,(OPT) This Creature can summon a Mini Drill.
62,Attack gives Smoldering for 2 turns. Pay 2 points to make this creatures next attack +1 ATK and inflict Blazing for 2 turns instead instead.
63,"When this creature attacks an opponents creature you can activate this ability before or after the attack; this creature gains the ability of the attack target. This creature can also use an action to gain the ability of a teammate. (Cannot gain the abilities of 5 star creatures)Can only have 1 copied ability at a time, copying a new ability will remove the current one. "
64,"This creature takes piercing counter damage equal to the ATK -5 of any creature it attacks. While this creature is on the field, all of your creatures other than this one gain +1 DEF."
65,"(OPT) Heal 4 HP. Gain +1 ATK per HP healed above max minus 2. ATK Goes away at the end of their turn. (Cannot gain more than +5 from this, and cannot lose ATK from this)."
66,"(BOT) This creature gains a charge counter. (OYT) Consume 3 charge counters to increase the ATK, DEF, and SPD of your whole team by 1. The creature that kills this creature takes counter damage equal to 3X the number of charge counters."
67,"On this creatures first turn and (EOT) after that, you can either: summon a Paint Warrior in front of any creature, or acquire 2 Paint Bomb items. "
68,(OPGT) Pay points equal to do one of the following: -1x an items level to negate it for one turn -2x the items level to destroy it or buy it from the shop -3x the items level to steal it. 
69,Summoned minions inherent any 50% of stat changes applied to this creature. (TPGT) Take 2 piercing DMG and summon one: Blood Clot Gold Clot (1 Point) White Clot (2 Points) Bone Clot (2 Points) Black Clot
70,"When this creature dies, choose a creature to be equipped with ""Dogma"
71,"(AAT) Spend 1 point to heal this creature by 1 HP. (Max 15)This creature can only be healed from it`s own ability.Attacks hit 2 creatures of choice at once.When this creature hits an enemy, gain 1 point.If this creature kills a point yeilding creature, gain double the points that it would normally yield."
72,"This creature starts with a Holy Card equipped. (OPT) Generate a Holy Card. (OPT) Pay 1 point to send an unused 1 or 2 star item in your hand back to the deck, and draw an item from the next tier up."
73,"(OFS) Draw a 1 star equip and equip it. (BOT) and when damaged, this creature can choose to either reroll any equips or the facedown item in the same lane to an equip/item of the same star level, but must do one."
74,"Attacks inflict 1 turn of Blindness. Both creatures share this ability, and it cannot be copied: (BOGT) Flip to the other creature on this card, putting this in the secondary field. If HP reaches 0, will not die until its turn. This cannot die while in the secondary field.(OPGT) Pay 3 points to flip to Dead Lazarus. This ability costs +1 point every time it is used."
75,"Attacks inflict 1 turn of Blindness. Both creatures share this ability, and it cannot be copied: (BOGT) Flip to the other creature on this card, putting this in the secondary field. If HP reaches 0, will not die until its turn. This cannot die while in the secondary field.(OPGT) Pay 3 points to flip to Dead Lazarus. This ability costs +1 point every time it is used."
76,(OPT) Draw two tier 3 or lower items from a copy of the deck. May take choose to take one by sacrificing already owned unused items equal to the star cost -1 of the desired item. Return untaken item(s) back to the deck.
77,"(OPGT) Intercept an attack or infliction. Every time this creature deals any damage (including self damage), gain 1 Regen for 1 turn. This creature takes 4 CD every time it attacks. Attackers take 4 CD. Any other friendly CD instances are increased by 1.5 DMG. (EOT) Heal 3 HP."
78,(OPT) draw from a merge of all the item decks until you get an equip item. Equip drawn item (no SP cost).Equips obtained this way become minions with 1 HP that have the effect of the equip.(OD) Equips return to their origin.Any form of healing given to this creature turns into 1 point per 1 HP instead of healing the creature.
79,"All healing on both sides does piercing damage instead of healing. (OPG)(OYT) If every Ingredient has been drawn atleast once from this ability, summon a Wondertart (TPT) Draw one ingredient:Gnome Berries Desert Limes (2 point) Icy Sugar Cubes (2 points) Pinapple Mint (4 points) Distillery Dough"
80,"This creature permanently assumes one form based on what happens while it is on the field. If a friendly creature dies , it becomes Neo (5/5/7/7). Instead of using it's attack stat, any creature it attacks in Neo form has its current HP reduced by 2/3. If 9 stars of items are used, it becomes EX (5/7/7/6). As long as EX is on the field your team gains +2 max star points of item usage."
81,"This cannot deal the fatal attack to a creature. Attacks inflict Smouldering for 2 turns. (OPT) May heal a creature for 4 HP, and inflict 3 turns of 2 Regen."
82,"(OPG) (AAT) If this creature has more than 50% HP and if a friendly creature is about to be destroyed by an attack, you can destroy this creature instead, and have it revive with (5/4/9/7) but it is Condemned for 2 turns."
83,"This creautre always goes first. This creature has a 1/30 chance to be hit by an attack. Every time it ends their turn, attacks, or is attacked, the denominator of the hit chance is decreased by 3. It can attack 5 times per turn. It's attacks deal piecing damage and gives the target chaos counters. Chaos counters deal 1 piecing damage to the creature, they are on at the end of that creatures turn. "
84,"While this creature is on the field, your team gains +5 max star points, however all of your items cost 1 more star to use. When attacking, instead of using the attack stat, reduce the attacked creatures HP by 50% of maximum and give it 3 stacks of Regen for 3 turns. "
85,(3PGT) Do one:-1 ATK for +1 DEF -1 DEF for +1 SPD -1 SPD for +1 ATK
86,(OPT) This creature may pay 2 points to create Spaghetti
87,Gains +2 bricks when mining. Cannot attack any creature that has not attacked this. (EOT) Force an enemy creature to deal 1 damage to this.
88,"Enemy point-yielding creatures can consume an action to place a song counter on this creature, and it is destroyed when it reaches 15 counters. On odd turns this will attack the highest ATK creature (random if tied) and inflict insane for 1 turn, and on even turns it will decrease it's ATK by 5 for that turn to attack all enemy creatures on any field."
89,"(EOT) this creature's attacks inflict insane. Can decrease its attack by 5 to attack every enemy on the PF with piercing damage (this attack cannot inflict insane). Enemy point-yielding creatures can consume an action to put a sing counter on this creature. If this creature has 8 or more sing counters, it is destroyed."
90,Always targets a random creature on the opposing team to the one that last atacked this. (ENDT) Gain 1 + # of turns alive ATK/SPD. (OD) revive with all stats reset to base values.
91,Always targets a random creature on the opposing team to the one that last atacked this. (ENDT) Gain 1 + # of turns alive ATK/SPD. (OD) revive with all stats reset to base values.
92,"1st turn: draw and play a random field item. 2nd turn: shift the abilities of all enemy creatures on the field to the creature to the right (rolling over to the left if it is the rightmost creature). 3rd turn: draw a random creature and replace the creature in the center fields ability with it. 4th turn: for each enemy creature: swap each stat bar with another random stat bar (keeping the difference between current and max HP, but cannot make a creature go below 0.5 HP). Reset to turn 1. "
93,"(OPT) Pay 2 points to draw a copy of Gasoline, Rope, or Bomb. If Gasoline is used on this creature, you may choose one of its effects, regardless of the creature's type."
94,"DMG dealt is reduced by a further 0.5 per DEF. (EOT) Until (ENDT), gain +2 ATK, or decrease ATK by 2 to hit all enemies on the PF."
95,Gain +1 action for the current turn when this kills another point-yielding creature.
96,"(OPGT) Intercept an attack or infliction. Ignore stat reductions from debuffs. Take 50% damage from debuffs. Gain ATK equal to 1.5x the sum of tiers of unique debuffs on this creature, and 0.5x the number of unique buffs on this creature."
97,"While this is on the field, your team may manipulate dice and coin flips to your result of choice. (OPT) May choose a friendly creatures ATK stat (including equips) to copy."
98,"When any point yeilding creature dies while this creature is on the field, generate an autopsy report unless the killing blow was done with an Autopsy Report."
99,Total an enemy teams point yielding creatures' stars on the (PF). +2 ATK +1 SPD per stars above 10. -1 ATK -0.5 SPD per star below 10.
100,"When attacking a creature, gain +0.5 ATK for each star of equip items on that creature for that attack."
101,"Upon dealing damage with his attack, gain +2 ATK. (EOT) Nasus may inflict 2 turns of Spirit Fire onto any creature on the primary field."
102,"Equip items don't lower this creature's stats. (EOT) Attacks inflict smouldering. On death, revive as Militron (No Armor)."
103,"(2PG) On death, revive with +1 ATK, -2 DEF"
104,"Overkill Dmg travels to the next Auto Croissant. First turn and (EOT) after, summon a persistent but non protective Auto Croissant minion (starts with 1 turn of negation) onto any slot."
105,+4 ATK against creatures in same lane.
106,"When summoned and (BOGT), must copy a random creatures base, unmodified stats and type from the field (cannot copy itself). Its HP and Error type persists between stat changes. "
107,"When a creature dies, this creature may steal 50% the value of one of that creature's stats."
108,"The creature opposing this has +1 ATK. When this creature perishes, any creature that enters the space this once occupied restores 1 HP per attack."
109,+1 max star point while on the field. (OD)Deals 2 piercing to all enemy creatures on field.
110,"While this creature is on the field, all enemy creatures have their speed reduced by 25%. If a creature attacks, or is attacked by this creature, its speed is decreased by a further 25%% during that attack. If this card kills a creature, it creates a non-protective minion with the stats of that killed creature but with -1 ATK -1 SPD.Minions cannot act the turn they are created."
111,"(OFS) or (OYT) if none exist, summon a Chestnutter on any friendly creature, giving it stats and an ability by spending creation counters from an initial pool of 13.(OPT) gain 2 creation counters. Gain half of the total creation counters (rounded down) used on a Chestnutter if it dies. (1 counter) +1 bar of any stat (cannot exceed 7 bars) (2 counters) attacks inflict 1 stack of (Softened/Smeckeldorfed/Thinned) for 2 turns (can stack). (3 counters) attacks inflict 1 stack of (Burdened/Enfeebled/Smoldering) for 2 turns (can stack). (4 counters) (OPGT) Intercept an attack or infliction directed at the equipped creature. (4 counters) attacks are peircing."
112,"After this creature takes damage for the first time begin morbing, regenerating 2 HP per turn while morbing. At this end of this creature's 2nd turn morbing, become fully morbed, gaining dark type, +2 DEF, and 50% lifesteal on attacks. After attacking once, begin YIIKing out, gaining +1 SPD while YIIKing. At this end of this creature's 2nd turn YIIKing, gain +2 ATK and +1 SPD. This creautre can only gain each of these buffs once."
113,(OPGT) May permanently swap a base stat of choice with a friendly creature.Swapping HP swaps current and max HP. (OPGT) Move a type or attribute from one creature on the field and another.(OPT) Permanently swap the abilities of two point-yielding (or two non point-yeilding) creatures with equal star value.(OPT) Pay 2 points per star to permanently add stars to the star value of a creature.
114,(OPT) You may increase the lowest stat of any other friendly creature by 1 bar. (OYT) You may consume 10 Bricks to create a Magnum Opus. May use actions to generate 7 bricks.
115,"(OPT) Allocate 3 Smeckeldorfed for 2 turns as you wish among any creatures on the field. While this is on the field, when a status effect is inflicted, double it if possible, if non-stackable, double the duration. This creature takes no damage from debuffs. (OD) Draw a Gasoline, Rope, and Bomb."
116,"(OPT) Inflict 1 turn of 1 Inspired to a friendly creature.(OPGT) Sacrifice up to 5 hp to heal another creature by the same amount.If this creature is not attacked during a global turn, gain +3 HP.(OPG) Enter absolute defense form for 1 global turn. While in absolute defense form cannot use actions, and cannot be damaged."
117,"After attacking, steal all of the attacked creatures types and attributes and add them to itself. For each unique type this has, gain +1 bar to the lowest stat (owner chooses for ties). For each unique attribute this has, gain +1 bar to a stat of choice. If this has atleast one of every type, it gains +1 actions. "
118,"When any creature dies while this is on the field, gain souls equal to their max HP. (TPT) May use souls to summon non-soul yeilding minions on any creature:4 souls for a Red Bloon. 12 souls for a Ceramic Bloon. 24 souls for a M.O.A.B. 36 souls for a B.F.B."
119,"(OFS/BOGT) Draw 3 stars worth of items (may draw from the 1, 2, 3 star item decks as you wish). (OPGT) Anytime a creature swapout happens while this is on the field, gain +1 ATK and SPD. If an attack is directed towards any friendly creature that would kill it, but it lives (after reactive plays), both this and that creature gain +2 ATK."
120,"After this creature attacks, steal 1 bar of the two highest base stats of the attacked creature (you choose if stats are equal). Upon attacking the same creature 3 times, this creature gains its ability. "
121,(OFS) Gain stats for every friendly point-yielding creature: IN YOUR HAND - 3 HP IN THE PLAYING FIELD - 3 DEF IN THE GRAVEYARD - 3 ATK (OPT) Pay 2 Star Points to draw 1 random 2 star item. (OPT) Pay 7 points to draw 1 random 2 star creature. This creature starts with 1 stack of infinite Hemorrhaging and gains another stack when it is attacked. (OPG) Clear all instances of Hemorrhaging. This creature may eat food.
122,Has no innate actions. Attacks inflict Blazing for 2 turns. DMG dealt is reduced by a further 0.5 per DEF. (ENDT) Mark a slot and inflict Afraid for 1 turn to everything in that slot. (BOT) Clear a mark and attack everything in that slot.
123,First turn and (EOT) gain +2 ATK for this attack and inflict either Blazing or Frostbite for 2 turns. (EOT) Summon a polevaulter zombie or a jack-in-the-box zombie.
124,"On first summon, draw a random 4 star attack item from a copy of the deck. (OPT) (2 points) Every turn after this creatures first, draw a 2 star attack item from a copy of the deck so long as this creature has not used any of its stored items. Items that this creature has drawn can only be used on its turn but for no sp cost. "
125,"when any creature dies, (OPGT), add their ability to a creature of choice on any feild."
126,"(OPGT) Refresh another creature's ability usage as though another turn has passed. (OPG) Permanently double the ability usage on of an ability on the field (Cannot double this ability or copies of it). (OPG)(OYT) Gain the ability of a dead creature for one turn. When this is on the field, discarded items may be bought for shop price (OYT)."
127,"(OFS) Choose a creature. If this is on the field when that creature dies, revive it with 1 HP. (EOT) Summon a SKELETON MATE."
128,"When attacking a creature, heal it by 5 HP after dealing damage. Attacks inflict 1 burdened for 2 turns."
129,"While creature is on the field, enemy creatures cannot gain stats (Does not prevent healing)"
130,Starts with a Regenerative Shield.
131,"Cannot be negated. (BOT) summon 2 drones. When this creature declares an attack, every drone in this creatures slot attacks the same targeted creature this does. (OPGT) A drone may intercept an attack or infliction towards this creature. "
132,"(EOT)(BOGT) Gain +1 ATKWhen this creature kills another creature, gain +4 max HP."
133,Attack items used by you during this creatures turn deals +2 damage and inflict 2 turns of smoldering. 
134,"(OPT) Create a Poison Circle on a slot of your choice. When this creature falls to 50% HP or below, this ability becomes and stays (TPT)."
135,"This creature has 3 actions, but it may only use actions to attack. If it's attacked by a point-yielding creature this creature loses an action for 2 turns. If a minion attacks this, it loses an action for 1 turn."
136,"When attacking, take the star level of this creature and subtract it from the average of the sum of the star levels of all other creatures on the field, then round it to the nearest whole number. This creature can only attack a lane based on the previous result, if 0 attack the leftmost lane, 1 attack the center lane, and 2 attack the rightmost lane (your perspective), then swap with the friendly creature in the corresponding lane. If this creatures attack would target another creature than the one in the lane determined by the previous clause, increase this creatures attack by 1 for this attack. If it is ever targeting a friendly creature, instead target the creature opposing it. After attacking, if this creatures attack was redirected in any way, subtract the star level of the creature that it should have attacked from the star level creature that it was redirected to, or vice versa (whichever is greater), then subtract the star level of the creature this swapped (if it hasnt swapped with anything, use itself) with minus the average of the star levels of all the creatures besides this one and the one it swapped with from the previous result and permanently increase this creatures attack by absolute value of the result, rounded to the nearest half. "
137,Does something idk
138,"(OPGT) Remove or add 1 bar to any stat of any creature on the field.(OPT) Can cure tier 2 and below debuffs.(OPG)(AAT) Change all types and attributes of any creature to that of your choosing, total of all stays the same, can convert types and attributes into eachother. Cannot create duplicates."
139,"When summoned and (BOGT), choose a form. Lightform: (+4 DEF): (OPT) (2 points) heal a target for 7 (can go up to 4 above max hp). Shadowform: (+3 ATK): (OPT) (1 point) negate a creature until next global turn."
140,"On first summon, summon one of four pet minions: Turtle Cat Hawk Wolf Can spend an action and 3 points to summon a new pet if there isn't one already."
141,"(OPT) Summon one of four totem minions: Water, Earth, Fire, and Air. Only one of each totem can exist at once."
142,"(OPGT) may intercept an attack or infliction. This creature gains rage counters equal to the damage it takes, rounded up (max 10). (OPT) May spend all rage counters to deal damage to a creature equal to the number of rage counters."
143,"This is 2 entities that share HP. If both attack the same creature, heal 2 HP. Immune to tier 3 and below debuffs. (EOT) attacks inflict 3 Softened for 3 turns."
144,"This is 2 entities that share HP. If both attack the same creature, heal 2 HP. Attacks inflict 1 Enfeebled for 2 turns."
145,"(OPG) Upon taking lethal damage, don't. (OPT) This creature can pay points to cast one of the following spells: (2) Deal 2 piercing damage at all creatures on the PF. (1) Deal 2 piercing damage and inflict chilled for 1 turn. (7) (EOT) deal 8 piercing damage and inflict Blazing for 2 turns."
146,On summon this creature cannot be targeted by the enemy until the end of it's first turn. This creature gains 2 combo counters for each successful attack (max 6). Can spend all combo counters to (OPT): Deal 2(x counters) DMG to a creature on the PF. Inflict 1(x counters) Enfeebled for 1 turn. Inflict 1(x counters) Softened for 2 turns.
147,This creature deals 50% lifesteal damage. (OPT) This creature may summon one of the following demons at the cost of 5 HP: Imp Voidwalker Felhunter Any existing demons die when a new one is summoned.
148,(OPT) May apply one of the following blessings to a friendly creature for 2 turns (only one blessing can exist on a creature at a time): (2 points) Kings: +1 to all stats (1 point) Might: +2 ATK Sanctuary: +2 DEF (OPG) (AAT) (5 points) Bubble: Cleanse a friendly creature of all tier 3 and below debuffs and make it immune to damage for 1 turn.
149,"Bear: +2 DEF, (OPGT) intercept an attack or infliction Cat: +2 SPD, may attack twice per action. Moonkin: +2 ATK, +1 max star point while in this form. Tree: +1 DEF, (OPT) heal a friendly creature by 4 HP."
150,Comes equipped with Frostmourne. (OPG)(OYT) Summon up to 3 different dead point-yielding creatures as non-protective minions with -2 bars in all of their base stats. May summon each minion to a creature of choice. These minions die at the end of their turn. Minions are and Military.
