,Descriptions
151,"(OPG)(AAT) If this creature is in your hand, then you may swap with one friendly creature on the PF with no point cost, and initiating a special turn for this creature, where it cannot be targeted by items (Unless this is being used reactively to an item.) After their turn ends, 2 whelps are summoned for the opponent across from this creature, and creature that was previously taking its turn resumes its turn."
152,"(BOT) -1 ATK, -1 SPD Regains 2 bars of each stat lost from this ability if this kills a point yielding creature, 1 bar if this kills a non-point yielding creature. Regains ATK and SPD lost to this ability equal to the star cost of a consumed food item."
153,(Max 3)(ENDT) Gain +1 DEF. (OYT) May sacrifice DEF gained from this ability for 2 points per DEF.
154,Immune to the negative effects of tier 3 or lower items. Immune to tier 2 and below debuffs. (EOT) Attacks inflict Frozen In Time for 1 turn.
155,"(ENDT) Gain +1 DEF, This creatures base DEF is capped at 10. (OPT) May sacrifice 3 DEF to summon either a Shadow Chopper, Shadow Duelist, or Shadow Miner on any creature."
156,Starts with Abigail. (OPT) can pay 3 points to resummon Abigail.
157,(OPT) Lose 1 bar of any stat to do one: -Summon tentacle for any friendly creature -Inflict 2 piercing to a random enemy creature (x3) -Heal all other friendly creatures by 3.
158,(OPT) You may pay 3 points to create a Battle Spear or Battle Helmet.
159,"(TPT) You may pay 1.5 points to increase any stat by one bar, each stat can only be increased up to 3 times this way. May eat food."
160,"(OFS) Lay an egg. (OPT) Lay an egg. (EOT) Can sacrafice -2 atk for 1 turn for attacks to inflict 2 stacks of Enfeebled for 1 turn. (OD) or on its 3rd+ turn, all eggs hatch into moslings"
161,"This creature starts with 2 actions every turn. After each attack, gain +2 ATK until the end of its turn. (MAX 3) Upon losing 4 HP, gain +2 DEF and summon a Living Bread."
162,"While this creature is on the field, all enemy creatures on any field are inflicted with 1 suffocation, with +1 stack applied (TPG) every time this creature loses 6 HP. Attacks do not use the attack stat but instead reduce the opponent's HP by 25% of maximum."
163,(EOT) Attacks inflict afraid for 2 turns. Can consume an action to reduce the ATK of all enemy creature's on the primary field by 1 At the end of this creature's 5th turn alive it deals 10 damage to all enemies on the PF. This creature cannot go into defense mode.
164,"(OPG) This creature's next attack inflicts Despair until this creature's death. After inflicting Despair this creature can no longer leave the field. When the afflicted creature dies, this creature also dies."
165,Attacks reduce enemy SPD by 1. (EOT) attacks hit all enemy creatures on the PF.
166,"(OPGT) Heal an ally creature by 4 HP. (PGT) Heal an ally creature by 4 HP. If this creature is killed by another creature's attack, or CD from that creature, the attacker gains: -3 DEF, -3 ATK, and -3 SPD."
167,"(OPT) Target a creature and increase one of its stat bars by 1, then decrease one of its other stat bars by 1 (cannot change HP)."
168,Starts with 2 Dark Tentacles. Attacks inflict Afraid for 2 turns. May use an action to give this creature and all living Dark Tentacles +1 ATK permanently or to summon a new Dark Tentacle.
169,"(OPG) On summon, choose a friendly creature to inflict Diligent Watch to and an enemy creature to inflict Resentful Glare to."
170,"After this creatures health reaches 0. Gain a counter, heal to 6 HP. 1+ counter: decreases DEF of attacked creatures by 2. 2+ counters: +1 SPD, first turn and (EOT) attacks inflict 2 turns of Afraid. 3+ counters: destroy this creature. (OYT) ""Stab"" yourself and bring HP to 0. "
171,"While this is on the field, replace the opponent's field item with Humphrey's belly. Permanently gain an action at the end of each turn. (OPG) when this creature dies, revive it with (8/4/6/2), and replace the prior ability with: At the end of this creature's turn, deal 1 piercing damage to all enemy creatures on the PF, increasing by 1 damage every turn."
172,"When this creature attacks, use SPD instead of ATK to determine damage."
173,Your team's healing items heal for 2 more HP. (OPT)(2 points) Bake a papa's cookie.
174,"(OPGT) While this creature is on the field, you may use items without having the prerequisite SP, allowing your SP to go negative, subtracting from the SP gained next turn. (AAT) Pay 2 points to set your SP to 0."
175,"(EOT) attacks hit all enemies on the PF, but also increases their ATK by 1. (MAX 3) Each time this loses 3 HP, gain 1 SPD."
176,"On attack, either inflict chilled for 2 turns or deal +2(x tier) more damage per unique debuff on the creature and remove them. (Cannot remove tier 4 debuffs)."
177,The Opposing team's healing items heal for 2 less HP. (OPT) (1.5 points) Bake an evil cookie.
178,"This creature's attacks are piercing, and can attack twice per action. Attacks inflict Afraid for 1 turn."
179,"If a friendly point yielding creature dies, This creature immediately hits 2 random enemy creatures for 6 damage. (EOT) inflict a creature with 2 Enfeebled for 2 turns."
180,(OPT) Change an attribute of a creature into another attribute or a type into another type
181,"Upon first summon, acquire 2 pizzas. This creature can eat pizza with no speed penalty. If this attacks something on the right side of the field, its ATK is increased by 2 for that attack."
182,"When this creature attacks opponents they gain ATK equal to the opponents DEF for that attack. If this creature attacks someone on the left side of field, (your perspective) their ATK is increased by 2 for that attack."
183,This creature is immune to the negative effects of tier 3 or lower items. If this creature attacks someone in the middle of the field their attack is increased by 2 for that attack.
184,"Whenever an attack is declared against this creature the attacker must pay 1 point. If this creature attacks, its attack is doubled, and the opponent may pay up to 3 points to reduce their attack by 3 per point. This creature cannot be summoned during the first global turn."
185,"(BOT) Gain +1 SPD. (OPT) Choose the 1, 2, or 3 star item pile. Keep drawing 3 cards at a time until an equip item is drawn. Equip all equip items drawn this way (no SP cost), then put the rest back and shuffle. This creature cannot unequip items. (OD) Return equips on this to their origin."
186,(EOT) Attacks inflict Insane for 1 turn and 1 Empowered for 1 turn.
187,"Turn 1 summon a Red Bloon on any creature. Turn 2 summon a Black or White Bloon on any creature. Turn 3 summon a Zebra Bloon on any creature. After turn 3, reset to turn 1."
188,"(OPGT) Steal up to 6 of any creatures' DEF until the end of the global turn, then return it. (OD)/If negated/upon exiting field: Return the stolen DEF to it's origin."
189,This creature has no innate actions. Gain a counter per item used while this is on the field (MAX 4 per global turn). Consume a counter to gain an action.
190,"While this is on the field, all healing is 1.5x as effective for your team."
191,Stat boosts last until end of global turn. May not boost stats over 11. (AAT) Boost DEF by 4 per point spent. (AAT) Boost ATK by 2 per point spent.
192,"Can attack 3 times per action. The first attack per action inflicts 2 turns of Smoldering, second inflicts 2 turns of Chilled, third inflicts Hexed."
193,"(OPG)(AAT) Summon a Godskin Apostle in the same slot as this. (OYT) and on summon, begin rolling. While rolling, after each attack gain +2 ATK. When this is attacked, stop rolling and reset ATK gained from rolling. This cannot be comboed while rolling."
194,"On First summon, summon Lorian This creature can take actions while not on the PF. Attacks are piercing. Can consume an action to resummon Lorian with 6 HP if he has been killed. Cannot be damaged until Lorian Has died at least once."
195,First turn and (EOT) summon an Abyss Watcher (Minion). (EOT) Must summon an Abyss Watcher (minion) opposing this creature. Once this creature dies all abyss watcher minions die.
196,"After this creature attacks, either deal 5 damage to the same creature (or next summoned creature) and inflict 2 turns of Smoldering, or deal 4 damage to all enemies on the PF."
197,"(TPG)(OYT) May reduce the current and max HP by 4 and attack by 2 of another friendly creature to add a ""Joy"" item to your hand."
198,"(OPT) May consume an action to give 1 Empowered for 2 turns to a friendly creature, or give 1 Empowered and Confusion for 1 turn to an enemy creature. If 9 stars worth of enemy creatures dies while this creature is on the field, gain +7 ATK."
199,"May consume an action to inflict one of the following debuffs: Afraid, Paralyzed, 4 stack of Softened, or 3 stacks of Enfeebled for 2 turns. (OPG) During an attack, you may choose to increase this creatures ATK by 10, then negate this creature permanently after the attack resolves. "
200,"Upon first summon, summon Oryx the Exalted God and Azamoth the Forgotten King as non-protective minions in front of this. (BOT) Increase all the stats of this creature and all its minions by +1 bars."
201,"(EOGT) If this takes 1/3 of its Max HP in DMG this global turn (regardless of healing), it is inflicted with Frozen and its DEF drops to 0 until either the end of the global turn or the end of its next turn (whichever happens last)."
202,"This has true negation immunity. Start with 15 counters and gain 5 when attacking. (OD/AAT) Revive as Azamoth The Possessed Vessel, counters persist to revival."
203,"(OPT) Swap one of your unused items with an item from the shop of equal level. While on the field,positive stat gains from field items doubly affect your team."
204,(EOT)(BOGT)This card gains +4 SPD for 1 turn. This card gains +1 ATK every time a friendly point yielding creature dies.
205,Whenever this card attacks it can either decrease the DEF of the target by 2(after the attack) or decrease the ATK of the target by 1.
206,"(EOT) If this creature chooses to attack it can decrease its ATK by 2 this turn to gain 2 actions that must be used for attacking,but will permanently lose 4 DEF. First turn & (EOT) If this card chooses to defend it gains 1 DEF permanently, and the DEF lost from its other ability is reduced by 2."
207,"This card gains +3 ATK for every global turn that has ended and loses -1 ATK for every point yielding creature that has died. While this creature has less than 10 ATK, it has 50% reduction to all damage types."
208,"(OYT)(OPG)This card may change into its red death marathon form for 2 turns,having -4 DEF & +3 ATK."
209,Attacks inflict 2 stacks of Poison for 6 turns.
210,"(EOT) Throw a boulder at any creature in any field, doing as much damage as an attack normally would. This attack cannot be be countered, always hits its intended target, and ignores defense gained from equip items."
211,"Attacks are piercing. This creatures attacks inflict shell shock for 2 turns. If this creature's attack kills a point-yeilding creature, all creatures allied to that creature are afflicted with shell shock for 2 turns. "
212,(BOGT)/(OS) This creature must declare which slot it will be attacking and will attack all targets in that lane. Attacks inflict Smoldering for 2 turns.
213,(EOT) One attack applies an inkhole onto attacked slot. Each time this creature is attacked it gains 3 DEF until the end of its next turn.
214,(OPT) Put a 2 star or below item from the discard pile into your hand.
215,"(EOGT) Inflict Despair onto one creature for for 1 turn. While attacking and defending, This creature has +4 atk and +2 SPD against any creature that has attacked it previously."
216,"(OPT) You can summon one of 4 minions: Sabre, Sword, Rapier, Hook. (OPT) This card can steal up to 6 HP from one of your other creatures or minions, excluding those summoned by this card."
217,When this attacks a creature you can activate this ability before or after the attack; Gain the ability of the attacked creature and negate it until (ENDGT).
218,Attacks inflict Frostbite for 2 turns. This creature may use an action to summon Crystal Bits. This creature may use an action to destroy its Crystal Bits and perform 3 attacks with 1.5 less ATK.
219,"(OPGT)(2 points) Summon 2 Grodus Xs (max 4). If 4 Grodus Xs are protecting this, its invincible. Before attacking, choose to either make attack piercing, or inflict 2 turns of Frostbite or Burning. "
220,"(OFS) Summon a Smorg Miasma (OPT) Summon a Smorg Miasma. (OPT) If this card is at or below 50% HP it can summon a Smorg Claw, and it can no longer summon Miasmas. Cannot have more than one Claw."
221,"Upon first Summon, summon a Jetpack. (OPGT) When attacked, this gains +4 DEF until the end of the global turn. (OYT) Pay 3 points to revive the jetpack if it is destroyed."
222,"This card has 1 extra action each turn. May spend 1 action to do one of the following: increase ATK by 4 for 1 turn, increase DEF by 3 for 3 turns, increase SPD by 3 for 2 turns."
223,Can Consume an Action to Summon an X Fist. Can decrease its ATK by 2 this turn to make its next attack hit all enemies on the (PF)
224,"When using an action, gain 2 bricks."
225,"First turn and (EOT) Pay 2 points and an action to attack 3 times with -3 ATK, and inflict 2 turns of 1 Enfeebled with each attack. (EOT) can use an action to use the ATK stat of one enemy to attack a different enemy."
226,Attacks twice per action. (OPT) Can reveal a facedown item. (OPG)(OYT) Pay 4 points and use an action to inflict Inspired to a friendly creature.
227,Attacks are piercing. (OPT) pay 2 points to steal a 2 star or lower equip item from an enemy creature or the item shop.
228,Attacks give Smoldering. If this card is about to die from an attack you can give 1 point to the enemy team to negate that attack (MAX 3). This ability permanently costs 1 extra point every time its used. 
229,"This creature starts with 2 Blooper Tentacles, and its attacks inflict Blindness for 2 turns. If this creature takes damage while the tentacles are in the secondary field, it and the tentacles swap fields."
230,"Cannot attack, defend, or equip items. (BOGT) Gain +3 ATK. (OYT) May double its ATK then destroy itself. (OD) Deal half its ATK as DMG to all enemies on the (PF)."
231,Immune to counter damage. (OPT) Pay 2 points to make next attack hit all enemies on PF. (OPT) Pay 3 points to place a shell shield on a teammate.
232,"Starts with a Fuzzy Horde. (OPT)Summon a Fuzzy Horde, max 1 on field."
233,
234,"This creature can decrease its attack by 5 to attack 2 creatures with piercing damage. While attacking with this ability, all boosts to this creatures base attack are 1.5x as effective. "
235,(OPGT) This creature may have the benefits of one of the following forms: Barricade: 2 creatures of your choice gain +2 DEF for this global turn. Acrobat: Gain 1 extra action. X Ball: +3 ATK +1 SPD and this creature takes 2 less damage from creatures with less speed than him.
236,"(OFS) This creature is inflicted with Plague and 2 Smeckeldorfed for 1 turn. The duration for Plague and Smeckeldorfed do not go down on this creature. If this creature is inflicted with Plague, this creature may sneeze when attacking, taking 4 CD and inflicting Sickness for 3 turns."
237,"Attacks inflict Smoldering for 2 turns. First turn and (EOT) this creature can ""infatuate"" an enemy, making it unable to attack this creature for 1 turn. (EOT) Pay 4 points to attack all enemies on the PF with piercing damage."
238,"While this card is on the field, all healing items used on enemy creatures inflict Smeckeldorfed for 5 turns. (OPT) You can pay 2 points to create an Inconspicuous Cake."
239,Attacks are piercing and have lifesteal. (OYT) Pay 3 points to force an enemy creature to switch out for the global turn.
240,"(OPT) This creature can inflict one of the following to any creature: 2 Enraged for 2 turns, 2 Hardened for 3 turns, 2 Burdened for 2 turns, 2 Enfeebled for 2 turns, (EOT) This creature can attack 2 creatures and inflict Frostbite for 2 turns."
241,"Pay 2 points and an action to place 3 bomb counters on any creature of your choice, which will explode at the end of the next Global turn, dealing 6 damage each. Use an action to explode, destroying this creature and dealing 6 damage to all enemy creatures on the PF."
242,"Upon first summon, gain +1 Action. Actions may be accumulated and saved between turns. (EOT)Pay 2 points to summon a Chomp if none are alive. This creature may use actions while not on the primary field."
243,"While (OTF), all healing is disabled except for on this creature. (EOT) (4 points) Summon a Pandoom. Attackers are inflicted with Doom.This ability cannot be copied."
244,"This ability cannot be copied. While (OTF), all healing is disabled except for on this creature. (EOT) (OYT) (4 points) Summon a Pandoom. Attackers are inflicted with Doom."
245,On summon and (BOGT) take a stance until end of global turn: Water Stream Fist: - (OPT) Heal this creature by 4 HP. - (OPGT) Redistribute one instance of damage as you wish among your creatures (cannot overkill them). Whirlwind Iron Cutting Fist: - Gain +2 ATK until end of turn. - (OPT) Sacrifice 5 HP to gain +1 action. Sky Ripping Fist: - Gain +4 SPD and become immune to CD until end of turn.
246,"Each time this loses 3 HP, summon a Grodus X. If this isn't attacked during a full global turn, its next attack inflicts Imprisoned for 1 turn."
247,"May choose to eat Healing Items as if it were a Machine, or not a Machine. Healing can go above its max HP. All non-healing items directly used on this must be eaten as Healing Items that heal either (3x Tier) or (Dmg + All Status Effect Tiers * 2) HP instead of their normal effect. If negated reactively to eating, Item is optionally not used."
248,"(OPT) Begin rolling, giving this creature permanent Blindness, +2 ATK and +1 SPD."
249,(EOT) (2 points) Gain 2 additional actions that must be used for attacking.
250,(OPGT) May intercept an attack. After intercepting the attacker loses 1 ATK.
251,(EOT) (2 points) Gain 2 additional actions that must be used for attacking.
252,"Upon killing any creature, gain +4 MAX HP."
253,"Upon first summon, each friendly creature on the field gains the ability to intercept an attack or infliction for this creature (OPG). (EOT) Grant a creature Inspired for 1 turn."
254,Attackers of Pandora take CD equal to their ATK -2. Gains abilities when this kills point-yielding creatures: 1) +1 bars to every stat. 2) Heal 4 HP when Pandora attacks. 3) +1 bars to every stat and immunity to CD. 4) (OPGT) Intercept an attack and inflictions and attacks inflict Imprisoned for 1 turn on creatures that attacked you.
255,Attacks inflict 3 turns of Sickness. (EOT) Attack is piercing and inflicts 3 turns of Plague.
256,(TPT) (1.5 points) Deal 2 piercing damage to a creature on the PF and increase one stat of this creature by 1 bar. Attackers take CD = to their ATK-1.
257,"(EOGT) Intercept an attack or infliction. If this creature is attacked, then its next attack towards that attacker inflicts Imprisoned and 2 Suffocation for 1 turn. Attackers take CD = to their ATK -1. "
258,Attacks apply Hexed. Attackers are inflicted with Hexed. (OPT)(4 points) Gain an additional action.
259,"May not go into defense mode. On summon and (BOGT), choose a lanes friendly creatures to intercept all attacks and inflictions towards. "
260,Attacks hit all creatures on the PF in the slot chosen. (OPT) This creatures next attack inflicts Burdened for 2 turns. Attackers are inflicted with Burdened for 2 turns.
261,"Attacks inflict Smoldering for 2 turns. (EOT) Gain one extra action for the turn. (EOT) Gain +2 ATK each time it is attacked until the end of the global turn, or +3 ATK next turn if it is not attacked."
262,(OPT) May lose 1 ATK to grant +1 ATK to any creature on the field.
263,(BOT) Gain +1 DEF. (OPT) You may transfer 2 bars of DEF from this creature to another one of your creatures permanently.
264,"(TPT) You can deal 2 piercing damage to a friendly creature to increase the DEF, ATK, or SPD of Traitor Lord by 1. Cannot increase any base stat beyond 10."
265,This creature has 50% damage reduction to all attacks; excluding attacks from creatures that it has attacked during either the previous or current global turn.
266,"This creature will always go first in it's lane. When attacking, may change ATK to be +1 the targets for the attack. When attacking, targets have -2.5 SPD."
267,May attack while not on the Primary field.First turn and (EOT) Pay 1 Point Summon a Fool Eater onto a creature.(OPT) Summon a Gulka onto a creature.May use an action to inflict 4 Poison for 2 turns.(E3T) May attack evertyhing on the primary field. This creature is immune to Poison.
268,InvincibleFearlessSensualMysteriousEnchantingVigorousDiligentOverwhelminggorgeousPassionateTerrifyingBeautifulPowerful
269,This creatures attacks are piercing to creatures with less speed than it.Attacks do 4 non-piercing shockwave damage.
270,"Attacks inflict Sickness for 2 turns.Attacks do 1 Peircing Shockwave Damage. Can attack twice per action but will be inflicted with Blindness for those attacks. If this creature goes into defense mode, gain 4 Peppy for 2 turns."
271,"Attacks deal 2 piercing shockwave damage. (OPG) When this creature dies, it revives with (3/3/9/7) and no longer has shockwaves."
272,"This creature can decrease its ATK by 2 this turn to make its next attack hit all enemies on the (PF). While this creature is in your hand, if one of your creatures who hasn't used its ability or attacked is attacked by an opponent creature, you may switch them out with this creature and deal 7 counter damage to the attacker."
273,Can deal no less than 4 Damage. (OPT) Hornet can lay a Spike Trap on one of your creatures.
274,"Attacks are piercing.When this kills a point yeilding creature, gain +2 ATK -1 SPD."
275,"This creatures attacks are piercing. When this creature attacks an enemy creature, gain +2 bricks and the enemy loses 2 bricks."
276,Each time this creature starts its turn or is attacked it gains a counter. If this creature has an even number of counters (2 or more) it may attack twice per action. If it has an odd number of counters (3 or more) its DEF is reduced to 1.
277,"(OPT) Equip Delicate Flower to a friendly creature.When a friendly point yielding creature dies, gain +1 ATK +1 DEF.(OPGT) Intercept an attack or infliction."
278,"This creature has a battle token that can be either black or white and starts as white. If the token is black, it can deal 7 counter damage to attackers. If the token is white, it can decrease attack by 2 to attack all opponents. Every time it is attacked the token switches colors. (ENDT) Can switch token. When below 50% HP, attacks are piercing."
279,"(BOGT)/On first Global Summon, choose a creature to inflict Infected until the end of the global turn. Gains the abilities of creatures negated by Infected. This ability cannot be copied."
280,"When this attacks, generate 1 Ritual Counter. (OYT) Deal 2 Piercing CD per Ritual Counter to all enemy creatures on the field and then die. (OD) Gain 1 point per Ritual Counter, and summon a Grimmchild as a minion in this slot, Ritual Counters go to this minion."
281,"At the end of Mantis Lords turn, summon 1 more mantis lord (with base stats) until 3 in total have been summoned. If all mantis lords currently on the field are destroyed, the next is summoned immediately. This ability cannot be negated or copied. "
282,(AAT) When a creature on your team takes damage you can pay 0.5 points to summon a Mini Bee. For every two mini bees the cost of summoning them increases by 0.5 points.
283,(OPT) Summon one:Sharp BaldurPrimal AspidArmored Squit(EOT) Pay 3 Points to summon a minion.
284,This creature takes only 50% damage from all attacks. All of this creatures attacks are piercing.
285,"May use DEF stat to determine damage. Starts equipped with Dreamshield. (OPG) When reduced below 50% HP, Doubles all 2 star or lower equips on this creature. Can not unequip items in this state, equip copies are discarded when this dies or is negated."
286,"These creatures are only destroyed when the beast is destroyed. If the beast is attacked while the tamer is alive, the attacker takes 4 counter damage. The beast deals +2 damage to a target with less speed than him."
287,"These creatures are only destroyed when the beast is destroyed. If the beast is attacked while the tamer is alive, the attacker takes 4 counter damage. The beast deals +2 damage to a target with less speed than him."
288,"Instead of a regular attack, this creature can attack a random enemy target, and if it does, then a second attack of equal power will hit a random opponent at the next (BOGT). All attacks have a 50% chance to inflict Sickness the target."
289,Overkill damage carries over to the next minion than equipped creature. Attacks inflict Afraid for 1 turn.
290,(OPGT) Give a friendly creature 3 Peppy for 1 turn.
291,Defense
292,Attacks inflict Burning for 2 turns. This creature is immune to minion specific items and effects.
293,(OPGT) May intercept an attack or infliction to the equipped creature. (EOT) Summon a Red Bloon on the same field as this creature.
294,All other minions protecting the same creature as this one gain +1 DEF while this is alive. This creature gains +1 ATK for every other minion protecting the same creature as this one.
295,Overkill damage carries over to the next minion then equipped creature.
296,Attacks only non-insane creatures.
297,This creature takes 2 piercing CD when it attacks. Decreases the DEF of the creature it attacks by 1.
298,Grants the equipped creature +1 DEF until this dies. (OPGT) May intercept an attack or infliction to the equipped creature.
299,(OPGT) Intercept an attack or infliction.
300,Attacks are piercing.
301,
302,
303,Its SPD cannot be reduced. (TPGT) May intercept an attack to the equipped creature. (EOT) Summon a M.O.A.B. on the same field as this creature.
304,"On first summon, summon a Chestnutter on any friendly creature, giving it stats and an ability by spending creation counters from a pool of 15. (1 counter) +1 bar of any stat (cannot exceed 7 bars) (2 counters) attacks inflict 1 stack of (Softened/Smeckeldorfed/Thinned) for 2 turns (can stack). (3 counters) attacks inflict 1 stack of (Burdened/Enfeebled/Smoldering) for 2 turns (can stack). (3 counters) immune to tier 1 debuffs. (4 counters) (OPGT) Intercept an attack directed at the equipped creature. (4 counters) attacks are peircing."
305,
306,(OD) Summon a Black Bloon and a White Bloon on the same field.
307,(OPT) Heal the equipped creature by 2 HP. (TPGT) May intercept an attack to the equipped creature. (EOT) Summon a Black or White Bloon on the same field as this creature.
308,(ENDT) Heal 2 hp. Attacks are piercing and hit all enemies on PF.This creature has +2 ATK on odd global turns.Cant equip items or gain permanent ATK
309,(BOT) Restore all creatures in this slot to full HP.
310,
311,Whatever kills this gains +3 HP (can go above MAX HP).
312,"When this minion attacks, it may destroy itself in order inflict Corruption for 3 turns to the target."
313,Heals the equipped creature by 2 HP at the end of its turn.
314,Attacks inflict Burning for 2 turns.
315,Heals the creature this is summoned on by 2 HP at the end of its turn.
316,Decreases the DEF of the creature this attacks by 1
317,Protects only against the opposing lane. Can attack creatures behind minions.
318,.
319,Attackers are inflicted with Chilled for 2 turns. Attacks inflict Chilled for 2 turns.
320,Overkill damage carries over to the next minion. Presists on the field.
321,Grants the equipped creature +2 DEF until this dies. (OPGT) May intercept an attack to the equipped creature. (OPGT) Negate negative effects of a lv 1-3 item on itself or equipped creature.
322,"(OPT)(1 Ritual Counter) This turn, attacks inflict Blazing for 2 turns. (OPT)(1 Ritual Counter) Gain +1 Bars in all stats. (OPT)(2 Ritual Counters) Gain +1 actions for this turn."
323,(TPGT) Negate the negative effects of one tier 2 or lower item or Chilled or Frostbite on itself or the equipped creature.
324,Persists on the field. (EOT) Attacks hit one creature on the (PF) in two adjacent slots.
325,"(OPT) Begin rolling, gaining +1 ATK, +2 DEF permanently."
326,
327,(OPT) Heal a friendly creature by 3 HP.
328,Attacks inflict 2 Poison for 5 turns.
329,"If more than one of this card is protecting a creature, then overkill damage from one tentacle is dealt to the next tentacle."
330,This creature cannot use an action on its first turn. This creature can attack twice per action.
331,"Has no innate actions. Overkill damage carries over to the next drone, or to the equipped creature if there are no drones left."
332,Overkill damage carries over to the next minion then equipped creature. Can attack any field and can ignore intercepts.
333,(OPGT) May intercept an attack to the equipped creature. (EOT) Summon a Ceramic or Rainbow Bloon on the same field as this creature.
334,Grants the equipped creature +1 ATK until this dies.
335,Attacks 3 separate creatures.
336,This ability cannot be stolen. (OPGT) May intercept an attack or infliction to the equipped creature. Permanently gain an extra action per turn at the end of the turn.
337,Draws and Composes
338,Can attack twice per action.
339,Can attack twice per action.
340,
341,
342,"Equipped creature gains +2 DEF while this is alive. Overkill damage carries over to the next Grodus X in this slot. If there are 4 Grodus Xs, instead of attacking they may all sacrifice themselves in order to deal combined ATK as damage. "
343,Reduces attacked creature's ATK by 1 permanently.
344,While this is alive all other friendly creatures have +1 ATK.
345,Chomp Chomp
346,Overkill damage goes to the next minion then equipped creature.
347,Attackers take counter damage equal to how much damage this takes. Overkill damage goes to the next minion then equipped creature.
348,"Stats scale with the equipped creature: -6 HP, -2 ATK, -1 SPD. At the start of the summoner's next turn, this creature dies."
349,"When this minion attacks an enemy creature, their team loses 2 stars of item usage."
350,Overkill damage carries over to the next minion then equipped creature. Every time this takes damage gain +1 point. Attacks inflict Gilded for 2 turns.
351,Overkill damage carries over to the next Dark Tentacle. Grants protectee +1 DEF while alive. May use an action to reduce an enemy creatures DEF by 2 until the end of the global turn. 
352,Friendly creatures on the PF besides this have +2 DEF while this minion exists.
353,Overkill damage carries through the next Miasma or Claw on the same creature.
354,Attacks do piercing damage.
355,
356," Protects only against the opposing lane. After its 2nd turn alive, destroy this minion and deal 5 damage to all enemy creatures on the PF. "
357,Overkill damage carries over to the next minion then equipped creature. Attacks do 2 piercing shockwave damage.
358,"This has true negation immunity. Upon summon, spend counters to increase this creatures' stats, 1 counter = 1 bar. Stats may be allocated above 10, and start at 0."
359,Monster
360,(OPGT) Negate one instance of either Chilled or Frostbite on itself or the equipped creature.
361,"After attacking, instantly die."
362,(OPGT) Intercept an attack or infliction toward the equipped creature.
363,Overkill damage carries through the next Miasma or Claw on the same creature.
364,(OPGT) Give a friendly creature +1 ATK permanently.
365,"This creature may switch for free. If this creature goes into the hand, it dies instantly, but the enemy team gets no points for its death."
366,(OPGT) Negate the negative effects of one tier 2 or lower item on either itself or the equipped creature.
367,
368,(OPGT) May either negate the damage of an attack (not towards itself) or (OYT) negate an ability until the end of the global turn. Overkill Dmg travels to a creature in this slot.
